period,series,series_description,value,units
2020-11,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",40.94,$/BBL
2020-12,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),49.99,$/BBL
2020-12,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",47.02,$/BBL
2021-01,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),54.77,$/BBL
2021-01,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",52,$/BBL
2021-02,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),62.28,$/BBL
2021-02,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",59.04,$/BBL
2021-03,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),65.41,$/BBL
2021-03,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",62.33,$/BBL
2021-04,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),64.81,$/BBL
2021-04,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",61.72,$/BBL
2021-05,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),68.53,$/BBL
2021-05,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",65.17,$/BBL
2021-06,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),73.16,$/BBL
2021-06,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",71.38,$/BBL
2021-07,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),75.17,$/BBL
2021-07,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",72.49,$/BBL
2021-08,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),70.61,$/BBL
2021-08,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",67.7,$/BBL
2021-09,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),74.49,$/BBL
2021-09,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",71.65,$/BBL
2021-10,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),83.54,$/BBL
2021-10,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",81.48,$/BBL
2021-11,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),81.05,$/BBL
2021-11,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",79.15,$/BBL
2021-12,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),74.17,$/BBL
2021-12,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",71.71,$/BBL
2022-01,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),86.51,$/BBL
2022-01,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",83.22,$/BBL
2022-02,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),97.13,$/BBL
2022-02,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",91.64,$/BBL
2022-03,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),117.25,$/BBL
2022-03,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",108.5,$/BBL
2022-04,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),104.58,$/BBL
2022-04,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",101.78,$/BBL
2022-05,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),113.34,$/BBL
2022-05,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",109.55,$/BBL
2022-06,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),122.71,$/BBL
2022-06,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",114.84,$/BBL
2022-07,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),111.93,$/BBL
2022-07,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",101.62,$/BBL
2022-08,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),100.45,$/BBL
2022-08,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",93.67,$/BBL
2022-09,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),89.76,$/BBL
2022-09,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",84.26,$/BBL
2022-10,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),93.33,$/BBL
2022-10,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",87.55,$/BBL
2022-11,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),91.42,$/BBL
2022-11,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",84.37,$/BBL
2022-12,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),80.92,$/BBL
2022-12,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",76.44,$/BBL
